Color,Quality,Volatile Acidity,Density,Alcohol,pH,Residual Sugar,Sulphates,Chlorides
white,6,0.25,0.99,12.0,3.18,3.2,0.31,0.03
white,6,0.19,0.99,12.0,3.08,9.7,0.66,0.03
white,6,0.2,0.99,12.0,3.22,1.5,0.65,0.04
white,6,0.22,0.99,12.0,3.2,1.4,0.33,0.04
white,6,0.34,0.99,12.0,3.09,3.8,0.34,0.04
white,6,0.26,0.99,12.0,3.15,3.8,0.34,0.03
white,6,0.12,0.99,12.0,2.8,0.9,0.55,0.03
red,6,0.44,1.0,11.9,3.18,2.2,0.69,0.09
white,6,0.26,0.99,11.9,2.97,1.6,0.43,0.03
red,6,0.43,0.99,11.9,3.33,2.0,0.46,0.08
red,6,0.43,0.99,11.9,3.33,2.0,0.46,0.08
white,6,0.36,0.99,11.9,3.41,4.2,0.45,0.03
white,6,0.24,0.99,11.9,3.06,1.4,0.39,0.03
white,6,0.21,0.99,11.9,3.33,1.6,0.52,0.03
white,6,0.29,0.99,11.9,3.28,1.1,0.34,0.04
white,6,0.31,0.99,11.9,3.15,1.6,0.48,0.03
red,6,0.21,0.99,11.9,3.25,1.4,0.59,0.07
red,6,0.32,1.0,11.9,3.27,2.2,0.67,0.08
white,6,0.24,0.99,11.9,2.99,2.1,0.68,0.03
white,6,0.31,1.0,11.9,3.74,10.0,0.55,0.05
red,6,0.36,1.0,11.9,3.2,2.4,0.53,0.12
red,6,0.25,0.99,11.9,3.38,1.7,0.6,0.07
red,6,0.36,1.0,11.9,3.2,2.4,0.53,0.12
red,6,0.35,0.99,11.9,3.36,2.4,0.6,0.07
red,6,0.7,1.0,11.9,3.54,5.1,0.6,0.08
red,6,0.3,1.0,11.9,3.44,2.0,0.82,0.05
red,6,0.96,0.99,11.9,3.5,1.8,0.44,0.08
white,6,0.16,0.99,11.9,2.93,7.9,0.37,0.02
white,6,0.2,0.99,11.9,3.18,11.8,0.34,0.04
white,6,0.37,0.99,11.9,3.19,2.85,0.36,0.04
white,6,0.27,0.99,11.9,2.97,1.7,0.51,0.03
white,6,0.27,0.99,11.9,2.97,1.7,0.51,0.03
white,6,0.15,0.99,11.9,3.2,5.9,0.43,0.04
white,6,0.36,0.99,11.9,3.15,1.6,0.49,0.02
white,6,0.35,0.99,11.9,3.46,1.2,0.42,0.03
red,6,0.6,1.0,11.9,3.25,4.3,0.74,0.1
white,6,0.24,0.99,11.9,3.1,2.2,0.62,0.03
white,6,0.16,0.99,11.9,2.93,7.9,0.37,0.02
white,6,0.3,0.99,11.9,3.06,4.6,0.66,0.02
red,6,0.29,1.0,11.9,3.28,1.6,0.73,0.08
white,6,0.28,0.99,11.9,3.36,4.5,0.58,0.05
white,6,0.17,0.99,11.8,3.27,2.8,0.43,0.03
red,6,0.6,1.0,11.8,3.46,1.9,0.53,0.1
red,6,0.62,0.99,11.8,3.32,2.3,0.51,0.06
red,6,0.37,0.99,11.8,3.38,1.8,0.72,0.07
white,6,0.32,0.99,11.8,3.11,0.7,0.31,0.03
white,6,0.34,0.99,11.8,3.06,2.2,0.44,0.04
white,6,0.2,0.99,11.8,2.98,3.9,0.53,0.04
white,6,0.33,0.99,11.8,3.41,11.8,0.64,0.03
white,6,0.44,0.99,11.8,3.16,8.4,0.36,0.06
white,6,0.44,0.99,11.8,3.16,8.4,0.36,0.06
red,6,0.42,1.0,11.8,3.26,3.4,0.93,0.11
white,6,0.24,0.99,11.8,3.24,5.1,0.46,0.04
red,6,0.62,1.0,11.8,3.38,1.8,0.89,0.07
red,6,0.62,1.0,11.8,3.38,1.8,0.89,0.07
white,6,0.24,0.99,11.8,3.28,4.2,0.49,0.04
white,6,0.24,0.99,11.8,3.28,4.2,0.49,0.04
white,6,0.21,0.99,11.8,3.26,0.8,0.32,0.02
white,6,0.3,0.99,11.8,3.23,6.4,0.44,0.03
white,6,0.22,0.99,11.8,3.3,1.9,0.49,0.05
red,6,0.27,0.99,11.8,3.16,1.4,0.51,0.05
red,6,0.3,1.0,11.8,3.39,2.3,0.72,0.06
red,6,0.3,1.0,11.8,3.39,2.3,0.72,0.06
red,6,0.72,0.99,11.8,3.41,2.1,0.57,0.06
white,6,0.39,0.99,11.8,2.95,5.9,0.51,0.06
red,6,0.72,0.99,11.8,3.41,2.1,0.57,0.06
red,6,0.29,1.0,11.8,3.22,2.4,0.63,0.08
red,6,0.74,0.99,11.8,3.28,2.0,0.57,0.07
white,6,0.23,0.99,11.8,3.28,1.8,0.4,0.03
white,6,0.23,0.99,11.8,3.28,1.8,0.4,0.03
white,6,0.28,0.99,11.8,3.23,1.9,0.52,0.03
white,6,0.23,0.99,11.8,3.32,1.8,0.5,0.03
red,6,0.18,0.99,11.8,3.37,2.7,0.78,0.07
red,6,0.52,0.99,11.8,3.26,2.2,0.64,0.06
white,6,0.14,0.99,11.8,3.19,1.7,0.42,0.04
white,6,0.24,0.99,11.8,3.11,10.5,0.42,0.03
white,6,0.13,0.99,11.8,3.28,1.1,0.53,0.02
white,6,0.2,0.99,11.8,3.14,1.2,0.61,0.03
white,6,0.19,0.99,11.8,3.17,4.9,0.41,0.04
white,6,0.24,0.99,11.8,3.34,2.3,0.44,0.04
white,6,0.2,0.99,11.8,3.1,8.1,0.67,0.04
white,6,0.32,0.99,11.8,3.06,1.9,0.45,0.04
white,6,0.26,0.99,11.8,3.16,2.0,0.47,0.02
white,6,0.26,0.99,11.8,3.33,2.0,0.61,0.04
white,6,0.23,0.99,11.8,3.29,1.7,0.6,0.02
white,6,0.22,0.99,11.8,3.2,5.5,0.47,0.03
white,6,0.32,0.99,11.8,3.02,11.7,0.34,0.03
white,6,0.24,0.99,11.75,3.04,1.3,0.64,0.04
white,6,0.24,0.99,11.73,3.04,1.3,0.64,0.04
red,6,0.86,1.0,11.7,3.6,2.0,0.74,0.1
white,6,0.37,0.99,11.7,3.14,2.5,0.36,0.03
white,6,0.37,0.99,11.7,3.14,2.5,0.36,0.03
white,6,0.13,0.99,11.7,3.32,1.8,0.9,0.05
red,6,0.44,0.99,11.7,3.38,1.6,0.57,0.05
white,6,0.3,0.99,11.7,3.39,8.2,0.49,0.03
white,6,0.3,0.99,11.7,3.39,8.2,0.49,0.03
white,6,0.15,0.99,11.7,2.96,1.0,0.5,0.04
white,6,0.31,0.99,11.7,3.34,10.5,0.46,0.03
white,6,0.31,0.99,11.7,3.34,10.5,0.46,0.03
white,6,0.23,0.99,11.7,3.1,6.4,0.78,0.04
red,6,0.48,1.0,11.7,3.26,2.2,0.66,0.11
white,6,0.3,0.99,11.7,2.96,11.6,0.38,0.03
white,6,0.3,0.99,11.7,2.96,11.6,0.38,0.03
white,6,0.2,0.99,11.7,3.03,1.4,0.46,0.04
white,6,0.28,0.99,11.7,3.07,1.2,0.39,0.04
white,6,0.3,0.99,11.7,2.96,8.5,0.46,0.04
white,6,0.18,0.99,11.7,3.09,1.0,0.37,0.04
white,6,0.22,0.99,11.7,3.1,1.1,0.38,0.04
white,6,0.19,0.99,11.7,3.3,2.9,0.41,0.03
white,6,0.19,0.99,11.7,3.35,1.6,0.44,0.06
white,6,0.37,0.99,11.7,3.37,1.2,0.38,0.03
white,6,0.31,0.99,11.7,3.37,1.6,0.47,0.03
red,6,0.44,0.99,11.7,3.48,1.6,0.85,0.04
red,6,0.53,1.0,11.7,3.07,4.6,0.56,0.12
white,6,0.22,0.99,11.7,3.18,1.4,0.7,0.02
white,6,0.96,1.04,11.7,3.39,65.8,0.69,0.07
white,6,0.22,0.99,11.7,3.18,1.4,0.7,0.02
white,6,0.24,0.99,11.7,3.69,2.2,0.62,0.04
white,6,0.17,0.99,11.7,3.11,1.3,0.56,0.02
red,6,0.21,1.0,11.7,3.22,2.8,0.68,0.09
white,6,0.3,0.99,11.7,3.2,3.5,0.44,0.03
white,6,0.13,1.0,11.7,3.32,12.7,0.42,0.06
white,6,0.13,1.0,11.7,3.32,12.7,0.42,0.06
white,6,0.41,0.99,11.7,3.05,2.6,0.34,0.03
white,6,0.41,0.99,11.7,3.05,2.6,0.34,0.03
white,6,0.12,0.99,11.7,3.01,1.1,0.56,0.03
red,6,0.53,1.0,11.7,3.07,4.6,0.56,0.12
red,6,0.36,0.99,11.7,3.57,2.2,0.57,0.1
white,6,0.37,0.99,11.7,3.18,1.1,0.39,0.03
red,6,0.36,0.99,11.7,3.57,2.2,0.57,0.1
white,6,0.16,0.99,11.65,3.33,1.2,0.44,0.03
white,6,0.16,0.99,11.63,3.33,1.2,0.44,0.03
white,6,0.34,0.99,11.6,3.27,5.2,0.57,0.06
white,6,0.18,0.99,11.6,3.27,4.5,0.37,0.05
red,6,0.39,1.0,11.6,3.39,2.0,0.66,0.09
red,6,0.58,0.99,11.6,3.21,3.1,1.03,0.15
white,6,0.19,0.99,11.6,3.37,4.0,0.51,0.02
white,6,0.22,0.99,11.6,3.06,1.2,0.74,0.04
white,6,0.33,0.99,11.6,3.12,10.0,0.36,0.04
white,6,0.36,0.99,11.6,3.37,6.3,0.4,0.03
white,6,0.36,0.99,11.6,3.37,6.3,0.4,0.03
white,6,0.28,0.99,11.6,3.27,4.1,0.56,0.05
white,6,0.34,0.99,11.6,3.08,10.3,0.35,0.04
white,6,0.26,0.99,11.6,3.31,5.9,0.4,0.04
white,6,0.26,0.99,11.6,3.38,2.2,0.43,0.04
white,6,0.3,0.99,11.6,3.13,5.25,0.45,0.05
white,6,0.3,0.99,11.6,3.13,5.25,0.45,0.05
white,6,0.37,0.99,11.6,3.1,13.8,0.37,0.03
red,6,0.74,0.99,11.6,3.67,1.7,0.56,0.09
red,6,0.55,0.99,11.6,3.32,1.8,0.82,0.08
red,6,0.52,1.0,11.6,3.56,4.4,0.63,0.07
white,6,0.27,0.99,11.6,3.19,1.1,0.49,0.05
white,6,0.28,0.99,11.6,3.29,1.7,0.57,0.04
white,6,0.29,0.99,11.6,3.31,1.4,0.62,0.04
white,6,0.27,0.99,11.6,3.04,3.8,0.38,0.04
red,6,0.55,1.0,11.6,3.34,2.5,0.61,0.07
white,6,0.14,0.99,11.6,3.05,1.1,0.55,0.03
white,6,0.24,0.99,11.6,3.06,3.8,0.37,0.04
red,6,0.69,1.0,11.6,3.48,3.0,0.74,0.09
red,6,0.69,1.0,11.6,3.48,3.0,0.74,0.09
white,6,0.17,0.99,11.6,3.16,2.0,0.51,0.05
white,6,0.3,0.99,11.6,3.13,2.2,0.38,0.04
white,6,0.28,0.99,11.6,3.31,3.6,0.52,0.04
white,6,0.22,0.99,11.55,3.31,1.3,0.47,0.05
white,6,0.27,0.99,11.5,3.1,3.5,0.38,0.07
white,6,0.21,0.99,11.5,3.42,1.7,0.49,0.03
red,6,0.49,1.0,11.5,3.16,3.0,1.0,0.1
white,6,0.35,0.99,11.5,3.38,6.8,0.4,0.03
white,6,0.35,0.99,11.5,3.38,6.8,0.4,0.03
white,6,0.35,0.99,11.5,3.38,6.8,0.4,0.03
white,6,0.22,0.99,11.5,2.99,4.6,0.28,0.04
white,6,0.19,0.99,11.5,3.2,6.6,0.27,0.04
red,6,0.61,1.0,11.5,3.61,2.2,0.7,0.1
red,6,0.5,1.0,11.5,3.32,2.3,0.62,0.09
white,6,0.19,0.99,11.5,3.2,6.6,0.27,0.04
white,6,0.2,0.99,11.5,3.19,5.7,0.46,0.04
white,6,0.26,0.99,11.5,3.13,6.0,0.55,0.02
white,6,0.2,0.99,11.5,3.31,1.8,0.47,0.03
white,6,0.26,0.99,11.5,3.13,6.0,0.55,0.02
white,6,0.29,0.99,11.5,3.35,1.4,0.35,0.02
white,6,0.47,0.99,11.5,3.27,1.9,0.35,0.04
white,6,0.38,0.99,11.5,3.11,9.9,0.37,0.04
white,6,0.28,0.99,11.5,3.17,1.0,0.36,0.04
white,6,0.26,0.99,11.5,3.12,4.2,0.39,0.03
white,6,0.26,0.99,11.5,3.12,4.2,0.39,0.03
red,6,0.56,0.99,11.5,3.59,2.2,0.54,0.08
red,6,0.3,0.99,11.5,3.29,1.2,0.52,0.06
red,6,0.3,0.99,11.5,3.29,1.2,0.52,0.06
red,6,0.54,0.99,11.5,3.43,2.0,0.59,0.08
white,6,0.35,0.99,11.5,3.13,12.4,0.39,0.05
white,6,0.26,0.99,11.5,3.19,6.4,0.7,0.05
red,6,1.01,0.99,11.5,3.66,2.0,0.6,0.04
white,6,0.2,0.99,11.5,3.19,3.5,0.35,0.06
white,6,0.25,0.99,11.5,3.21,3.8,0.38,0.05
white,6,0.2,0.99,11.5,3.19,3.5,0.35,0.06
white,6,0.25,0.99,11.5,3.06,2.8,0.44,0.03
white,6,0.25,0.99,11.5,3.21,9.2,0.36,0.03
white,6,0.25,0.99,11.5,3.21,9.2,0.36,0.03
red,6,0.76,0.99,11.5,3.51,2.9,0.6,0.07
white,6,0.3,0.99,11.5,2.94,7.2,0.32,0.04
red,6,0.74,1.0,11.5,3.45,2.3,0.63,0.05
red,6,0.51,0.99,11.5,3.48,1.9,0.57,0.06
red,6,0.39,0.99,11.5,3.3,2.6,0.84,0.07
red,6,0.32,1.0,11.5,3.28,1.8,0.77,0.13
red,6,0.32,1.0,11.5,3.28,1.8,0.77,0.13
white,6,0.2,0.99,11.5,3.19,5.7,0.46,0.04
white,6,0.29,0.99,11.5,3.04,7.6,0.32,0.02
white,6,0.29,0.99,11.5,3.04,7.6,0.32,0.02
red,6,0.74,1.0,11.5,3.45,2.3,0.63,0.05
white,6,0.22,0.99,11.5,3.18,6.7,0.46,0.03
white,6,0.21,0.99,11.5,2.98,7.0,0.82,0.04
white,6,0.2,0.99,11.5,3.14,1.1,0.38,0.03
white,6,0.14,0.99,11.5,3.19,1.0,0.64,0.1
red,6,0.5,1.0,11.5,3.16,2.0,0.72,0.07
white,6,0.27,0.99,11.5,3.32,1.6,0.65,0.04
red,6,0.62,1.0,11.5,3.42,1.9,0.57,0.07
red,6,0.76,1.0,11.5,3.45,4.2,0.68,0.08
red,6,0.39,0.99,11.5,3.12,1.7,0.5,0.07
white,6,0.2,0.99,11.5,3.17,1.6,1.06,0.03
white,6,0.27,0.99,11.47,2.89,2.2,0.3,0.04
white,6,0.24,0.99,11.45,3.44,1.0,0.44,0.04
white,6,0.24,0.99,11.45,3.04,1.1,0.39,0.05
white,6,0.24,0.99,11.45,3.04,1.1,0.39,0.05
white,6,0.16,0.99,11.43,3.11,1.4,0.42,0.06
white,6,0.22,0.99,11.4,2.95,2.8,0.64,0.14
white,6,0.2,0.99,11.4,3.3,1.6,0.43,0.05
white,6,0.38,0.99,11.4,2.99,8.2,0.31,0.04
white,6,0.22,0.99,11.4,3.25,0.9,0.35,0.05
red,6,0.58,1.0,11.4,3.59,2.2,0.68,0.1
red,6,0.45,0.99,11.4,3.3,2.4,0.65,0.04
white,6,0.26,0.99,11.4,3.19,1.6,0.51,0.04
white,6,0.26,0.99,11.4,3.19,1.6,0.51,0.04
red,6,0.43,1.0,11.4,3.1,2.3,0.87,0.07
white,6,0.29,0.99,11.4,3.3,1.1,0.4,0.03
white,6,0.22,0.99,11.4,2.98,8.8,0.41,0.03
white,6,0.26,0.99,11.4,3.01,1.2,0.63,0.04
white,6,0.17,0.99,11.4,3.32,1.0,0.62,0.08
white,6,0.38,0.99,11.4,3.08,9.2,0.42,0.04
white,6,0.19,0.99,11.4,2.91,3.6,0.78,0.03
white,6,0.34,0.99,11.4,3.02,2.0,0.54,0.04
white,6,0.22,0.99,11.4,3.1,1.2,0.76,0.04
red,6,0.67,0.99,11.4,3.49,2.1,0.49,0.04
white,6,0.23,0.99,11.4,3.21,1.6,0.51,0.04
white,6,0.26,0.99,11.4,3.06,3.7,0.45,0.05
white,6,0.17,0.99,11.4,3.05,1.9,0.54,0.04
white,6,0.24,0.99,11.4,3.1,7.1,0.85,0.04
white,6,0.16,0.99,11.4,3.24,1.6,0.32,0.04
white,6,0.16,0.99,11.4,3.27,1.3,0.55,0.03
white,6,0.27,0.99,11.4,3.23,6.8,0.39,0.05
red,6,0.44,0.99,11.4,3.32,1.4,0.58,0.07
red,6,0.34,1.0,11.4,3.35,2.0,0.6,0.09
white,6,0.24,0.99,11.4,3.25,1.7,0.42,0.04
red,6,0.38,1.0,11.4,3.36,2.3,0.55,0.11
red,6,0.38,1.0,11.4,3.36,2.3,0.55,0.11
red,6,0.52,1.0,11.4,3.22,2.0,0.76,0.08
red,6,0.32,1.0,11.4,3.15,2.0,0.73,0.07
white,6,0.25,0.99,11.4,3.03,1.3,0.39,0.04
white,6,0.22,0.99,11.4,3.2,6.7,0.68,0.04
red,6,0.52,1.0,11.4,3.22,2.0,0.76,0.08
red,6,0.72,1.0,11.4,3.48,2.1,0.65,0.07
white,6,0.21,0.99,11.4,3.05,9.25,0.37,0.03
white,6,0.21,0.99,11.4,3.05,9.25,0.37,0.03
red,6,0.38,1.0,11.4,3.3,1.9,0.64,0.1
red,6,0.39,1.0,11.4,3.06,2.2,0.84,0.08
white,6,0.33,0.99,11.4,3.11,1.6,0.5,0.17
white,6,0.2,0.99,11.4,3.46,1.5,0.5,0.04
white,6,0.2,0.99,11.4,3.46,1.5,0.5,0.04
red,6,0.31,0.99,11.4,3.34,2.4,0.85,0.06
white,6,0.27,0.99,11.4,3.15,1.7,0.69,0.05
white,6,0.28,0.99,11.4,3.16,1.7,0.71,0.05
white,6,0.23,0.99,11.4,3.23,1.6,0.7,0.05
red,6,0.54,1.0,11.4,3.39,2.1,0.84,0.08
white,6,0.3,0.99,11.4,3.04,7.35,0.32,0.02
white,6,0.19,0.99,11.4,3.2,1.8,0.64,0.02
white,6,0.23,0.99,11.4,3.11,7.5,0.27,0.04
white,6,0.28,0.99,11.4,3.02,8.0,0.37,0.04
white,6,0.26,0.99,11.4,3.32,7.0,0.49,0.04
white,6,0.16,0.99,11.4,3.06,1.4,0.47,0.06
white,6,0.42,0.99,11.4,3.05,2.35,0.41,0.03
red,6,0.38,1.0,11.4,3.39,2.5,0.77,0.1
white,6,0.27,0.99,11.4,3.02,3.2,0.53,0.04
white,6,0.27,0.99,11.4,3.02,3.2,0.53,0.04
red,6,0.54,1.0,11.4,3.2,2.4,0.71,0.08
white,6,0.4,0.99,11.4,3.0,1.8,0.55,0.05
white,6,0.14,0.99,11.4,3.25,1.6,0.45,0.04
white,6,0.25,0.99,11.4,3.14,2.3,0.51,0.05
white,6,0.26,0.99,11.4,3.24,5.4,0.41,0.05
white,6,0.12,0.99,11.4,3.32,1.3,0.33,0.06
white,6,0.2,0.99,11.4,3.4,1.0,0.41,0.04
white,6,0.32,0.99,11.4,2.99,8.25,0.44,0.02
white,6,0.32,0.99,11.4,2.99,8.25,0.44,0.02
white,6,0.21,0.99,11.4,3.31,1.1,0.52,0.04
white,6,0.21,0.99,11.4,3.31,1.1,0.52,0.04
white,6,0.15,0.99,11.4,3.09,1.7,0.53,0.04
white,6,0.15,0.99,11.4,3.09,1.7,0.53,0.04
white,6,0.21,0.99,11.4,3.44,2.0,0.42,0.04
white,6,0.14,0.99,11.4,3.03,1.0,0.54,0.04
white,6,0.14,0.99,11.4,3.03,1.0,0.54,0.04
white,6,0.23,0.99,11.37,3.05,3.5,0.37,0.04
white,6,0.29,0.99,11.35,3.24,9.15,0.56,0.05
white,6,0.13,0.99,11.33,3.21,2.6,0.76,0.04
white,6,0.13,0.99,11.33,3.21,2.6,0.76,0.04
white,6,0.29,0.99,11.33,3.24,9.15,0.56,0.05
white,6,0.32,0.99,11.3,3.23,1.6,0.52,0.04
white,6,0.26,0.99,11.3,3.75,2.7,0.76,0.04
white,6,0.21,0.99,11.3,3.31,1.2,0.56,0.04
white,6,0.21,0.99,11.3,3.15,1.5,0.45,0.05
white,6,0.25,0.99,11.3,3.07,3.8,0.46,0.05
white,6,0.18,0.99,11.3,3.21,4.6,0.38,0.03
white,6,0.4,0.99,11.3,3.24,5.1,0.44,0.04
white,6,0.43,1.0,11.3,3.14,13.0,0.35,0.03
white,6,0.17,0.99,11.3,3.29,1.4,0.38,0.04
white,6,0.43,1.0,11.3,3.14,13.0,0.35,0.03
white,6,0.43,1.0,11.3,3.14,13.0,0.35,0.03
white,6,0.43,1.0,11.3,3.14,13.0,0.35,0.03
red,6,0.64,1.0,11.3,3.44,2.7,0.63,0.12
red,6,0.64,1.0,11.3,3.44,2.7,0.63,0.12
white,6,0.36,0.99,11.3,3.34,3.3,0.55,0.04
white,6,0.36,0.99,11.3,3.34,3.3,0.55,0.04
red,6,0.34,1.0,11.3,3.19,3.7,0.7,0.17
white,6,0.23,0.99,11.3,3.18,1.5,0.45,0.04
red,6,0.42,1.0,11.3,3.21,2.7,0.87,0.06
white,6,0.4,0.99,11.3,3.24,5.1,0.44,0.04
white,6,0.21,0.99,11.3,3.0,3.1,0.6,0.04
white,6,0.16,0.99,11.3,3.02,1.3,0.58,0.03
white,6,0.16,0.99,11.3,3.02,1.3,0.58,0.03
red,6,0.4,1.0,11.3,3.06,2.15,0.68,0.07
white,6,0.26,0.99,11.3,3.37,1.2,0.66,0.05
white,6,0.18,0.99,11.3,3.16,5.1,0.44,0.04
white,6,0.25,0.99,11.3,3.41,1.5,0.47,0.04
red,6,0.36,1.0,11.3,3.31,2.1,0.62,0.11
red,6,0.69,1.0,11.3,3.38,2.5,0.6,0.09
red,6,0.49,0.99,11.3,3.41,2.3,0.83,0.07
red,6,0.69,1.0,11.3,3.38,2.5,0.6,0.09
red,6,0.69,1.0,11.3,3.38,2.5,0.6,0.09
white,6,0.4,1.0,11.3,3.26,7.8,0.58,0.06
red,6,0.58,1.0,11.3,3.45,2.0,0.58,0.06
red,6,0.67,1.0,11.3,3.42,1.8,0.67,0.12
red,6,0.68,1.0,11.3,3.51,3.7,0.66,0.1
white,6,0.21,0.99,11.3,3.25,1.1,0.4,0.05
red,6,0.27,0.99,11.3,3.26,2.1,0.56,0.1
white,6,0.27,0.99,11.3,3.04,4.9,0.4,0.03
red,6,0.44,0.99,11.3,3.42,2.2,0.69,0.06
white,6,0.18,0.99,11.3,3.37,2.0,0.79,0.04
white,6,0.31,0.99,11.3,3.31,3.3,0.44,0.04
white,6,0.34,0.99,11.3,3.12,1.1,0.53,0.03
white,6,0.13,0.99,11.3,3.06,4.2,0.54,0.04
red,6,0.42,0.99,11.3,3.16,8.6,0.57,0.07
white,6,0.23,0.99,11.3,3.28,9.65,0.38,0.02
white,6,0.2,0.99,11.3,3.29,1.9,0.54,0.04
white,6,0.3,0.99,11.3,3.19,1.5,0.56,0.04
white,6,0.17,0.99,11.3,3.24,4.2,0.43,0.04
white,6,0.25,0.99,11.3,2.92,4.1,0.59,0.04
white,6,0.17,0.99,11.3,3.24,4.2,0.43,0.04
white,6,0.17,0.99,11.3,3.22,2.6,0.72,0.03
white,6,0.17,0.99,11.3,3.22,2.6,0.72,0.03
white,6,0.17,0.99,11.3,3.24,4.2,0.43,0.04
red,6,0.41,1.0,11.3,3.21,2.8,0.76,0.1
white,6,0.22,0.99,11.3,3.08,7.2,0.59,0.06
white,6,0.22,0.99,11.3,3.08,7.2,0.59,0.06
red,6,0.43,1.0,11.3,3.35,2.3,0.61,0.08
white,6,0.14,0.99,11.3,3.76,1.0,0.49,0.04
white,6,0.21,0.99,11.3,3.24,1.2,0.57,0.05
white,6,0.19,0.99,11.3,3.22,1.2,0.53,0.05
white,6,0.33,0.99,11.3,3.32,1.2,0.62,0.05
white,6,0.28,0.99,11.3,3.44,1.2,0.69,0.05
white,6,0.25,0.99,11.3,3.02,1.2,0.58,0.04
white,6,0.23,0.99,11.3,3.02,2.1,0.52,0.03
white,6,0.18,0.99,11.3,3.23,1.0,0.52,0.03
white,6,0.2,0.99,11.3,3.24,1.0,0.52,0.03
white,6,0.35,0.99,11.3,3.39,7.8,0.4,0.03
white,6,0.35,0.99,11.3,3.39,7.8,0.4,0.03
white,6,0.25,0.99,11.2,3.04,2.6,0.53,0.05
red,6,0.37,1.0,11.2,3.3,2.1,0.8,0.06
white,6,0.17,0.99,11.2,3.26,1.1,0.57,0.04
white,6,0.16,0.99,11.2,2.88,2.6,0.47,0.04
white,6,0.16,0.99,11.2,2.88,2.6,0.47,0.04
white,6,0.16,0.99,11.2,3.23,1.2,0.47,0.06
white,6,0.16,0.99,11.2,3.23,1.2,0.47,0.06
white,6,0.23,0.99,11.2,3.02,3.2,0.51,0.04
white,6,0.22,0.99,11.2,3.01,9.9,0.28,0.03
white,6,0.16,0.99,11.2,3.23,1.2,0.47,0.06
red,6,0.58,0.99,11.2,3.24,2.1,0.53,0.1
white,6,0.38,0.99,11.2,3.07,4.5,0.42,0.04
white,6,0.28,0.99,11.2,3.12,12.9,0.39,0.03
white,6,0.29,0.99,11.2,3.11,10.7,0.59,0.04
white,6,0.25,0.99,11.2,2.87,1.3,0.48,0.04
white,6,0.31,0.99,11.2,3.23,3.0,0.56,0.03
white,6,0.41,0.99,11.2,3.29,1.9,0.55,0.05
white,6,0.21,0.99,11.2,3.27,1.6,0.5,0.04
white,6,0.38,0.99,11.2,3.2,3.7,0.63,0.03
white,6,0.26,0.99,11.2,3.16,4.3,0.33,0.03
white,6,0.25,0.99,11.2,2.99,9.7,0.36,0.04
white,6,0.25,0.99,11.2,2.99,9.7,0.36,0.04
white,6,0.14,0.99,11.2,3.27,1.4,0.54,0.05
white,6,0.29,0.99,11.2,3.05,1.8,0.62,0.03
white,6,0.36,0.99,11.2,3.15,1.9,0.49,0.04
white,6,0.24,0.99,11.2,3.33,10.05,0.5,0.04
white,6,0.14,0.99,11.2,3.27,1.4,0.54,0.05
red,6,0.45,1.0,11.2,3.17,3.2,0.66,0.07
white,6,0.2,0.99,11.2,3.09,1.0,0.32,0.06
red,6,0.19,0.99,11.2,3.29,1.6,0.69,0.06
red,6,0.57,0.99,11.2,3.43,2.5,0.56,0.07
red,6,0.48,0.99,11.2,3.45,1.7,0.54,0.08
white,6,0.28,1.0,11.2,3.33,7.8,0.77,0.06
red,6,0.58,0.99,11.2,3.22,2.0,0.58,0.12
white,6,0.19,0.99,11.2,3.56,4.5,0.45,0.03
white,6,0.36,0.99,11.2,3.03,1.7,0.38,0.03
red,6,0.27,1.0,11.2,3.15,2.0,0.69,0.1
white,6,0.27,0.99,11.2,3.35,1.5,0.48,0.04
red,6,0.51,0.99,11.2,3.4,2.0,0.84,0.07
red,6,0.4,1.0,11.2,3.12,1.9,0.65,0.08
red,6,0.56,0.99,11.2,3.4,1.8,0.82,0.07
red,6,0.56,0.99,11.2,3.4,1.8,0.82,0.07
white,6,0.23,0.99,11.2,3.32,1.5,0.42,0.04
red,6,0.55,1.0,11.2,3.52,2.2,0.76,0.06
white,6,0.2,0.99,11.2,3.12,2.0,0.54,0.04
red,6,0.16,0.99,11.2,3.34,2.1,0.71,0.06
white,6,0.16,0.99,11.2,3.38,1.6,0.44,0.03
white,6,0.26,0.99,11.2,3.04,2.0,0.39,0.03
white,6,0.36,0.99,11.2,3.21,1.4,0.33,0.02
white,6,0.33,0.99,11.2,3.13,1.2,0.28,0.05
white,6,0.18,0.99,11.2,3.13,4.4,0.62,0.05
white,6,0.22,0.99,11.2,3.25,1.4,0.53,0.04
white,6,0.15,0.99,11.2,3.22,3.7,0.27,0.04
white,6,0.15,0.99,11.2,3.22,3.7,0.27,0.04
white,6,0.21,0.99,11.2,3.37,1.8,0.48,0.03
white,6,0.27,0.99,11.2,3.18,10.8,0.37,0.03
white,6,0.16,0.99,11.2,3.18,4.8,0.44,0.04
white,6,0.26,0.99,11.2,3.0,2.6,0.5,0.04
white,6,0.32,0.99,11.2,3.24,8.3,0.47,0.04
white,6,0.18,0.99,11.2,3.21,1.3,0.52,0.03
white,6,0.22,0.99,11.2,3.38,4.9,0.55,0.05
white,6,0.13,0.99,11.2,3.47,0.9,0.52,0.04
white,6,0.36,0.99,11.2,3.22,5.25,0.4,0.04
white,6,0.21,0.99,11.2,3.11,1.2,0.75,0.04
