,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage,Probability of Automation,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
207,173012,Electrical and Electronics Drafters,"26,750","63,390","35,780","46,260","59,970","77,700","96,820",0.81,310.0,40.0,580.0,140.0,5090.0,620.0,440.0,60.0,120.0,860.0,380.0,180.0,120.0,810.0,310.0,220.0,250.0,450.0,230.0,190.0,400.0,900.0,540.0,440.0,120.0,520.0,120.0,160.0,190.0,300.0,580.0,230.0,1480.0,640.0,50.0,760.0,300.0,450.0,1140.0,0.0,360.0,30.0,410.0,2970.0,250.0,40.0,490.0,970.0,50.0,460.0,0.0
208,173013,Mechanical Drafters,"63,630","57,480","34,490","43,170","54,480","68,630","85,920",0.68,590.0,0.0,750.0,240.0,3900.0,880.0,1900.0,130.0,0.0,2460.0,1170.0,70.0,170.0,3640.0,1450.0,880.0,1100.0,800.0,1000.0,750.0,1220.0,1530.0,4310.0,2260.0,400.0,1050.0,80.0,470.0,210.0,350.0,1370.0,190.0,3750.0,1510.0,140.0,2440.0,1110.0,830.0,3370.0,60.0,810.0,170.0,1240.0,4900.0,650.0,90.0,2020.0,2250.0,150.0,2730.0,80.0
209,173019,"Drafters, All Other","15,530","54,410","32,180","39,570","50,470","64,230","82,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,173020,"Engineering Technicians, Except Drafters","432,270","59,510","33,920","43,490","57,310","72,670","89,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,173021,Aerospace Engineering and Operations Technicians,"11,970","71,070","42,830","53,870","68,020","84,230","102,000",0.48,190.0,0.0,570.0,60.0,2490.0,310.0,150.0,0.0,0.0,730.0,240.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,450.0,0.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,210.0,0.0,90.0,0.0,420.0,70.0,50.0,50.0,0.0,0.0,0.0,0.0,1200.0,130.0,0.0,160.0,0.0,0.0,0.0,0.0
212,173022,Civil Engineering Technicians,"72,150","52,120","31,100","38,170","49,980","62,450","77,500",0.75,1600.0,520.0,1110.0,190.0,8360.0,1300.0,480.0,490.0,180.0,2930.0,1760.0,140.0,280.0,1930.0,800.0,850.0,1270.0,1330.0,570.0,400.0,1110.0,730.0,2420.0,2250.0,960.0,1240.0,350.0,370.0,890.0,170.0,920.0,600.0,1840.0,3250.0,500.0,1970.0,710.0,840.0,2280.0,290.0,700.0,420.0,1560.0,11750.0,580.0,370.0,2030.0,1730.0,810.0,1680.0,350.0
213,173023,Electrical and Electronics Engineering Technicians,"134,870","62,950","36,850","47,810","62,190","75,480","91,640",0.84,2020.0,490.0,2820.0,570.0,24250.0,1640.0,1530.0,180.0,340.0,5400.0,3840.0,550.0,660.0,3810.0,2230.0,1000.0,960.0,910.0,1460.0,360.0,3940.0,5170.0,3180.0,2360.0,1150.0,1720.0,150.0,470.0,1570.0,1090.0,2570.0,1300.0,5880.0,2630.0,340.0,2450.0,1550.0,0.0,5260.0,720.0,1700.0,170.0,2430.0,15370.0,1570.0,320.0,5720.0,2180.0,380.0,2070.0,100.0
214,173024,Electro-Mechanical Technicians,"13,710","57,860","34,820","43,630","55,610","70,080","85,440",0.81,110.0,40.0,340.0,0.0,2430.0,180.0,70.0,0.0,0.0,250.0,260.0,0.0,0.0,400.0,260.0,90.0,0.0,150.0,0.0,0.0,170.0,750.0,550.0,260.0,0.0,0.0,0.0,70.0,100.0,160.0,260.0,210.0,530.0,140.0,0.0,420.0,390.0,610.0,560.0,0.0,120.0,0.0,360.0,1400.0,140.0,0.0,620.0,180.0,0.0,150.0,0.0
215,173025,Environmental Engineering Technicians,"16,550","52,500","29,820","36,900","49,170","62,700","80,780",0.25,210.0,150.0,160.0,180.0,2590.0,340.0,150.0,50.0,0.0,680.0,640.0,0.0,40.0,420.0,270.0,110.0,90.0,140.0,370.0,70.0,420.0,650.0,250.0,290.0,180.0,300.0,50.0,230.0,110.0,0.0,510.0,120.0,1220.0,290.0,90.0,320.0,370.0,200.0,940.0,40.0,390.0,0.0,670.0,780.0,230.0,90.0,410.0,350.0,120.0,160.0,60.0
216,173026,Industrial Engineering Technicians,"63,220","56,920","33,520","41,900","53,330","68,380","86,430",0.03,1130.0,70.0,1910.0,350.0,4040.0,750.0,1040.0,60.0,0.0,2070.0,1010.0,0.0,220.0,1900.0,2820.0,530.0,570.0,960.0,320.0,360.0,650.0,2090.0,4790.0,2950.0,410.0,1100.0,40.0,310.0,100.0,420.0,470.0,0.0,3170.0,2890.0,230.0,3200.0,710.0,630.0,2570.0,100.0,1440.0,130.0,4380.0,3290.0,680.0,1260.0,890.0,0.0,110.0,1690.0,0.0
217,173027,Mechanical Engineering Technicians,"45,510","57,180","34,030","42,580","54,480","68,440","82,810",0.38,710.0,100.0,560.0,210.0,4030.0,460.0,950.0,80.0,0.0,750.0,750.0,50.0,60.0,2630.0,1230.0,380.0,380.0,440.0,160.0,170.0,540.0,1670.0,4560.0,1380.0,730.0,710.0,30.0,140.0,150.0,350.0,440.0,120.0,1560.0,980.0,110.0,2280.0,740.0,440.0,2080.0,60.0,740.0,140.0,1250.0,4980.0,1050.0,40.0,1170.0,820.0,0.0,2000.0,0.0
218,173029,"Engineering Technicians, Except Drafters, All Other","74,290","64,050","34,690","46,990","62,330","78,570","95,960",0.24,830.0,290.0,1500.0,440.0,9690.0,1550.0,580.0,0.0,310.0,2100.0,1430.0,580.0,160.0,4650.0,1590.0,830.0,0.0,700.0,1770.0,800.0,1700.0,1960.0,2300.0,1530.0,480.0,720.0,150.0,300.0,370.0,390.0,920.0,2120.0,2030.0,840.0,270.0,3260.0,1060.0,1110.0,5120.0,160.0,540.0,80.0,1170.0,7050.0,1080.0,30.0,3250.0,2170.0,240.0,1080.0,310.0
219,173030,Surveying and Mapping Technicians,"53,920","45,490","26,030","32,860","42,450","55,690","70,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,173031,Surveying and Mapping Technicians,"53,920","45,490","26,030","32,860","42,450","55,690","70,280",0.96,700.0,200.0,1050.0,310.0,3530.0,0.0,280.0,120.0,0.0,5250.0,1720.0,80.0,260.0,1270.0,830.0,280.0,500.0,660.0,1200.0,330.0,750.0,580.0,1120.0,790.0,560.0,840.0,240.0,680.0,250.0,270.0,640.0,720.0,1480.0,2910.0,190.0,1370.0,980.0,740.0,1730.0,100.0,1040.0,110.0,1250.0,7730.0,350.0,120.0,1890.0,1220.0,390.0,530.0,180.0
221,190000,"Life, Physical, and Social Science Occupations","1,152,840","72,930","33,350","45,060","63,340","91,060","123,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,191000,Life Scientists,"286,390","83,080","41,910","53,000","71,950","100,080","135,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,191010,Agricultural and Food Scientists,"31,350","70,470","37,660","47,950","62,920","84,270","116,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,191011,Animal Scientists,"2,470","72,890","36,340","45,900","60,330","80,840","126,190",0.061,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,80.0,30.0,0.0,0.0,50.0,0.0,90.0,30.0,0.0,0.0,0.0,100.0,100.0,190.0,120.0,0.0,100.0,0.0,120.0,0.0,0.0,40.0,0.0,170.0,0.0,0.0,70.0,0.0,0.0,60.0,0.0,0.0,70.0,40.0,180.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0
225,191012,Food Scientists and Technologists,"14,200","71,270","37,800","49,060","63,950","87,800","117,480",0.077,0.0,0.0,30.0,140.0,2520.0,130.0,0.0,0.0,0.0,230.0,740.0,0.0,200.0,460.0,0.0,330.0,300.0,70.0,0.0,40.0,240.0,310.0,0.0,650.0,0.0,280.0,0.0,410.0,0.0,0.0,1150.0,110.0,580.0,200.0,40.0,750.0,50.0,230.0,350.0,50.0,60.0,50.0,130.0,570.0,120.0,60.0,80.0,140.0,0.0,630.0,0.0
226,191013,Soil and Plant Scientists,"14,690","69,290","37,820","47,490","62,300","81,920","114,390",0.021,40.0,40.0,230.0,50.0,2100.0,230.0,100.0,90.0,60.0,290.0,220.0,110.0,180.0,470.0,130.0,1640.0,450.0,160.0,80.0,0.0,170.0,50.0,330.0,650.0,100.0,320.0,210.0,730.0,0.0,0.0,60.0,50.0,190.0,1140.0,220.0,190.0,60.0,620.0,180.0,0.0,0.0,460.0,100.0,820.0,60.0,0.0,120.0,520.0,0.0,450.0,40.0
227,191020,Biological Scientists,"103,690","80,060","41,570","52,890","71,890","95,990","128,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,191021,Biochemists and Biophysicists,"29,200","94,340","45,000","58,630","82,180","117,340","158,410",0.027000000000000003,30.0,0.0,0.0,50.0,4960.0,430.0,410.0,140.0,0.0,860.0,0.0,0.0,30.0,1260.0,240.0,110.0,40.0,370.0,0.0,230.0,1640.0,0.0,550.0,1020.0,0.0,0.0,0.0,110.0,0.0,110.0,3540.0,0.0,1530.0,810.0,0.0,0.0,50.0,140.0,1270.0,0.0,50.0,0.0,250.0,1160.0,210.0,0.0,500.0,300.0,0.0,440.0,0.0
229,191022,Microbiologists,"21,670","76,850","39,480","48,920","66,850","97,050","128,190",0.012,110.0,40.0,120.0,150.0,5070.0,450.0,0.0,0.0,0.0,260.0,780.0,110.0,90.0,750.0,0.0,200.0,70.0,80.0,0.0,80.0,1970.0,1400.0,330.0,360.0,40.0,280.0,110.0,120.0,70.0,80.0,520.0,40.0,1340.0,290.0,0.0,540.0,50.0,110.0,1060.0,0.0,90.0,60.0,310.0,800.0,190.0,40.0,380.0,290.0,50.0,340.0,0.0
230,191023,Zoologists and Wildlife Biologists,"17,720","64,890","39,150","48,360","60,520","76,320","98,540",0.3,80.0,730.0,340.0,150.0,2200.0,640.0,0.0,0.0,90.0,1750.0,290.0,140.0,580.0,200.0,30.0,80.0,150.0,180.0,50.0,0.0,430.0,260.0,250.0,590.0,190.0,380.0,310.0,0.0,170.0,120.0,120.0,160.0,430.0,470.0,110.0,160.0,0.0,920.0,230.0,40.0,160.0,190.0,80.0,290.0,280.0,110.0,280.0,1990.0,140.0,360.0,320.0
231,191029,"Biological Scientists, All Other","35,110","77,830","42,040","55,570","74,790","91,520","116,680",0.015,220.0,340.0,520.0,250.0,7170.0,820.0,150.0,0.0,280.0,1550.0,850.0,290.0,270.0,580.0,360.0,240.0,250.0,250.0,600.0,0.0,3540.0,3460.0,250.0,510.0,290.0,390.0,400.0,150.0,220.0,100.0,330.0,360.0,620.0,830.0,170.0,860.0,270.0,850.0,540.0,40.0,160.0,100.0,300.0,2270.0,230.0,0.0,580.0,1180.0,180.0,530.0,170.0
232,191030,Conservation Scientists and Foresters,"28,890","63,720","37,910","47,240","60,610","76,680","92,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,191031,Conservation Scientists,"20,470","65,130","37,270","47,010","61,810","78,120","95,970",0.016,110.0,190.0,340.0,260.0,1260.0,1170.0,50.0,50.0,260.0,260.0,410.0,140.0,280.0,540.0,210.0,440.0,190.0,180.0,630.0,80.0,490.0,300.0,290.0,730.0,590.0,520.0,530.0,250.0,230.0,50.0,330.0,210.0,520.0,450.0,260.0,380.0,240.0,820.0,770.0,40.0,220.0,290.0,170.0,1740.0,260.0,110.0,650.0,920.0,160.0,720.0,180.0
234,191032,Foresters,"8,420","60,300","39,100","47,440","58,700","71,100","82,400",0.0081,220.0,60.0,0.0,190.0,690.0,190.0,70.0,0.0,0.0,260.0,200.0,0.0,330.0,120.0,100.0,90.0,0.0,140.0,0.0,90.0,70.0,110.0,310.0,300.0,180.0,160.0,190.0,40.0,0.0,90.0,0.0,130.0,210.0,290.0,40.0,170.0,40.0,460.0,280.0,0.0,200.0,120.0,170.0,120.0,0.0,80.0,280.0,520.0,120.0,430.0,60.0
235,191040,Medical Scientists,"114,560","94,150","44,640","56,990","79,730","115,450","158,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,191041,Epidemiologists,"5,690","77,720","46,870","56,780","70,820","89,840","114,510",0.2,40.0,0.0,130.0,40.0,750.0,320.0,120.0,0.0,60.0,40.0,280.0,0.0,0.0,200.0,100.0,40.0,0.0,50.0,0.0,0.0,340.0,260.0,150.0,210.0,80.0,110.0,0.0,0.0,0.0,0.0,120.0,0.0,230.0,100.0,0.0,190.0,60.0,0.0,110.0,0.0,0.0,0.0,0.0,410.0,90.0,0.0,110.0,270.0,70.0,0.0,0.0
237,191042,"Medical Scientists, Except Epidemiologists","108,870","95,000","44,550","57,000","80,530","116,840","159,570",0.0045,190.0,0.0,1840.0,140.0,24260.0,1130.0,1640.0,250.0,690.0,1940.0,1390.0,310.0,130.0,2820.0,1470.0,920.0,600.0,650.0,140.0,190.0,5010.0,9710.0,2790.0,2290.0,300.0,2100.0,130.0,460.0,280.0,370.0,4150.0,370.0,9900.0,3230.0,30.0,4210.0,220.0,1930.0,6750.0,0.0,310.0,140.0,1540.0,3540.0,550.0,290.0,1900.0,4430.0,80.0,1000.0,0.0
238,191090,Miscellaneous Life Scientists,"7,890","83,150","44,190","54,390","73,860","103,090","136,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,191099,"Life Scientists, All Other","7,890","83,150","44,190","54,390","73,860","103,090","136,370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,192000,Physical Scientists,"262,640","87,310","43,520","56,560","77,790","108,440","143,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,192010,Astronomers and Physicists,"18,510","120,650","57,310","81,070","114,870","153,180","187,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,192011,Astronomers,"1,830","110,380","54,960","71,270","104,740","147,320","165,140",0.041,0.0,0.0,200.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,192012,Physicists,"16,680","121,770","57,640","82,850","115,870","153,710","189,560",0.1,190.0,0.0,70.0,0.0,2860.0,1010.0,100.0,0.0,570.0,540.0,100.0,50.0,160.0,690.0,210.0,30.0,0.0,0.0,0.0,0.0,1140.0,360.0,410.0,130.0,90.0,120.0,0.0,0.0,0.0,70.0,390.0,1640.0,1070.0,380.0,0.0,510.0,50.0,90.0,210.0,60.0,190.0,0.0,220.0,970.0,30.0,0.0,830.0,460.0,0.0,350.0,0.0
244,192020,Atmospheric and Space Scientists,"9,800","94,840","51,480","69,860","92,460","114,510","140,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,192021,Atmospheric and Space Scientists,"9,800","94,840","51,480","69,860","92,460","114,510","140,830",0.67,0.0,150.0,90.0,0.0,700.0,1580.0,30.0,0.0,60.0,460.0,80.0,60.0,50.0,0.0,70.0,90.0,100.0,90.0,60.0,70.0,590.0,480.0,120.0,250.0,60.0,140.0,100.0,110.0,90.0,70.0,120.0,150.0,470.0,160.0,0.0,110.0,150.0,130.0,90.0,0.0,60.0,0.0,120.0,650.0,160.0,0.0,400.0,270.0,0.0,100.0,70.0
246,192030,Chemists and Materials Scientists,"94,410","82,520","42,540","54,820","75,420","102,920","132,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,192031,Chemists,"86,660","80,820","42,180","54,060","73,740","100,630","129,670",0.1,650.0,130.0,570.0,370.0,11660.0,1870.0,1470.0,0.0,250.0,2370.0,1310.0,120.0,320.0,3380.0,2280.0,380.0,490.0,920.0,750.0,140.0,3240.0,2860.0,2920.0,1680.0,0.0,1880.0,160.0,620.0,250.0,270.0,6410.0,300.0,4170.0,3720.0,130.0,4110.0,460.0,660.0,5250.0,190.0,1100.0,150.0,1140.0,6400.0,880.0,170.0,1540.0,1590.0,210.0,2580.0,110.0
248,192032,Materials Scientists,"7,750","101,570","49,890","71,070","99,430","128,620","157,750",0.021,80.0,0.0,60.0,0.0,1450.0,150.0,60.0,70.0,0.0,130.0,0.0,0.0,30.0,290.0,0.0,0.0,0.0,40.0,130.0,0.0,130.0,390.0,370.0,190.0,0.0,120.0,0.0,0.0,90.0,70.0,150.0,100.0,370.0,230.0,0.0,640.0,0.0,40.0,390.0,0.0,50.0,0.0,180.0,320.0,50.0,0.0,350.0,0.0,40.0,70.0,0.0
249,192040,Environmental Scientists and Geoscientists,"120,970","83,600","42,660","54,610","73,320","100,600","134,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,192041,"Environmental Scientists and Specialists, Including Health","84,250","75,360","41,220","52,150","68,910","91,450","120,320",0.033,880.0,640.0,1320.0,480.0,14790.0,3140.0,810.0,410.0,1390.0,5320.0,1160.0,640.0,440.0,2740.0,820.0,640.0,640.0,960.0,1280.0,410.0,2010.0,1770.0,2140.0,1660.0,450.0,940.0,390.0,430.0,770.0,400.0,2900.0,1110.0,3700.0,3370.0,280.0,3140.0,430.0,900.0,2260.0,260.0,370.0,240.0,1210.0,5050.0,620.0,430.0,2840.0,3340.0,500.0,950.0,450.0
251,192042,"Geoscientists, Except Hydrologists and Geographers","30,420","106,390","47,450","62,830","89,780","127,620","189,020",0.63,280.0,460.0,390.0,60.0,3910.0,2180.0,130.0,60.0,0.0,570.0,280.0,50.0,110.0,290.0,280.0,70.0,260.0,220.0,1100.0,110.0,440.0,170.0,400.0,220.0,360.0,210.0,240.0,70.0,720.0,90.0,290.0,350.0,940.0,440.0,50.0,350.0,1090.0,300.0,1030.0,120.0,170.0,70.0,220.0,9070.0,210.0,50.0,400.0,1070.0,90.0,0.0,200.0
252,192043,Hydrologists,"6,300","83,740","50,600","63,190","80,480","100,190","120,100",0.014,0.0,60.0,270.0,0.0,730.0,410.0,40.0,0.0,0.0,230.0,40.0,0.0,190.0,80.0,40.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,90.0,350.0,0.0,80.0,140.0,90.0,140.0,60.0,220.0,150.0,230.0,200.0,60.0,250.0,40.0,210.0,140.0,0.0,100.0,0.0,90.0,340.0,120.0,0.0,70.0,370.0,0.0,180.0,30.0
253,192090,Miscellaneous Physical Scientists,"18,960","98,460","47,380","65,210","96,070","123,960","155,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,192099,"Physical Scientists, All Other","18,960","98,460","47,380","65,210","96,070","123,960","155,000",0.43,80.0,120.0,70.0,0.0,2410.0,480.0,60.0,0.0,670.0,450.0,380.0,140.0,190.0,590.0,970.0,40.0,140.0,150.0,50.0,0.0,1580.0,260.0,1550.0,0.0,300.0,110.0,90.0,60.0,200.0,80.0,510.0,740.0,970.0,810.0,70.0,400.0,0.0,300.0,350.0,0.0,100.0,40.0,80.0,1100.0,110.0,0.0,1040.0,310.0,80.0,90.0,0.0
255,193000,Social Scientists and Related Workers,"244,820","81,380","41,990","55,840","75,280","99,320","125,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,193010,Economists,"19,380","112,860","55,150","73,890","101,050","138,120","181,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,193011,Economists,"19,380","112,860","55,150","73,890","101,050","138,120","181,060",0.43,30.0,40.0,100.0,90.0,1540.0,190.0,200.0,30.0,7420.0,210.0,380.0,140.0,0.0,360.0,0.0,50.0,40.0,70.0,40.0,0.0,650.0,0.0,270.0,350.0,0.0,280.0,80.0,30.0,110.0,70.0,130.0,70.0,570.0,190.0,0.0,120.0,30.0,230.0,540.0,0.0,100.0,0.0,60.0,930.0,60.0,90.0,1170.0,310.0,30.0,400.0,40.0
258,193020,Survey Researchers,"11,930","59,950","25,680","37,800","54,470","76,440","100,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,193022,Survey Researchers,"11,930","59,950","25,680","37,800","54,470","76,440","100,250",0.23,0.0,0.0,160.0,60.0,1360.0,150.0,200.0,60.0,510.0,450.0,180.0,160.0,0.0,770.0,380.0,0.0,300.0,80.0,0.0,30.0,880.0,520.0,400.0,120.0,0.0,160.0,0.0,210.0,0.0,0.0,730.0,30.0,610.0,230.0,0.0,130.0,0.0,80.0,960.0,0.0,60.0,0.0,60.0,570.0,180.0,0.0,310.0,140.0,0.0,50.0,50.0
260,193030,Psychologists,"122,310","80,640","41,890","55,580","75,230","98,590","121,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,193031,"Clinical, Counseling, and School Psychologists","107,980","78,690","41,830","55,050","73,270","95,910","120,320",0.0047,560.0,270.0,2500.0,450.0,18990.0,2830.0,1760.0,340.0,430.0,2720.0,2070.0,790.0,420.0,3930.0,1300.0,650.0,1230.0,1060.0,600.0,260.0,2130.0,4900.0,2750.0,3320.0,370.0,1540.0,450.0,490.0,490.0,390.0,3600.0,910.0,11230.0,3090.0,260.0,3110.0,920.0,1130.0,5040.0,610.0,1170.0,250.0,1700.0,5820.0,1410.0,410.0,2340.0,2050.0,610.0,2150.0,200.0
262,193032,Industrial-Organizational Psychologists,"1,020","104,570","52,950","66,390","82,760","137,510","184,380",0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0
263,193039,"Psychologists, All Other","13,310","94,650","41,690","66,810","95,710","109,770","127,710",0.0043,130.0,0.0,140.0,80.0,1800.0,260.0,210.0,0.0,210.0,1470.0,340.0,0.0,50.0,800.0,180.0,70.0,110.0,160.0,220.0,40.0,520.0,900.0,270.0,210.0,70.0,190.0,50.0,0.0,0.0,0.0,100.0,90.0,610.0,310.0,0.0,360.0,100.0,180.0,440.0,60.0,140.0,40.0,180.0,660.0,0.0,0.0,340.0,390.0,110.0,180.0,30.0
264,193040,Sociologists,"2,870","86,840","41,950","57,650","79,750","108,130","146,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,193041,Sociologists,"2,870","86,840","41,950","57,650","79,750","108,130","146,860",0.059,0.0,0.0,30.0,0.0,1100.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,290.0,180.0,0.0,80.0,0.0,40.0,80.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,100.0,80.0,0.0,140.0,0.0
266,193050,Urban and Regional Planners,"34,810","73,060","44,170","55,160","70,020","87,910","105,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,193051,Urban and Regional Planners,"34,810","73,060","44,170","55,160","70,020","87,910","105,310",0.13,360.0,190.0,740.0,90.0,6770.0,810.0,380.0,230.0,240.0,1920.0,470.0,430.0,290.0,690.0,580.0,210.0,260.0,300.0,70.0,110.0,990.0,1200.0,670.0,1050.0,180.0,280.0,260.0,230.0,210.0,180.0,450.0,370.0,1430.0,1230.0,50.0,570.0,170.0,880.0,1640.0,140.0,380.0,200.0,340.0,2130.0,320.0,180.0,1210.0,2070.0,70.0,470.0,120.0
268,193090,Miscellaneous Social Scientists and Related Workers,"53,530","81,570","42,800","58,010","77,020","101,360","127,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,193091,Anthropologists and Archeologists,"6,470","66,440","36,910","48,240","63,190","81,430","99,590",0.0077,80.0,120.0,320.0,30.0,1320.0,230.0,0.0,0.0,70.0,170.0,80.0,160.0,120.0,70.0,100.0,30.0,0.0,80.0,110.0,0.0,180.0,0.0,0.0,30.0,0.0,130.0,60.0,0.0,160.0,0.0,0.0,320.0,80.0,80.0,0.0,110.0,0.0,430.0,80.0,0.0,50.0,50.0,90.0,310.0,110.0,0.0,150.0,220.0,50.0,0.0,80.0
270,193092,Geographers,"1,370","74,090","44,680","57,210","74,260","90,120","101,370",0.25,0.0,0.0,40.0,0.0,110.0,60.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0
271,193093,Historians,"2,950","60,990","28,050","36,630","55,110","80,310","102,830",0.44,40.0,0.0,0.0,0.0,260.0,60.0,0.0,0.0,0.0,60.0,80.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,80.0,40.0,40.0,0.0,120.0,80.0,0.0,0.0,0.0,0.0,110.0,0.0,460.0,40.0,0.0,70.0,30.0,50.0,100.0,0.0,0.0,0.0,0.0,120.0,60.0,0.0,140.0,0.0,0.0,50.0,0.0
272,193094,Political Scientists,"6,350","112,250","57,750","86,600","114,290","141,550","160,290",0.039,0.0,0.0,140.0,0.0,300.0,0.0,0.0,0.0,3790.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,40.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,850.0,100.0,0.0,0.0,0.0
273,193099,"Social Scientists and Related Workers, All Other","36,380","80,860","45,420","59,340","77,020","99,130","119,800",0.04,0.0,180.0,530.0,0.0,4440.0,680.0,360.0,50.0,3280.0,1760.0,1130.0,360.0,50.0,1070.0,200.0,0.0,260.0,370.0,210.0,130.0,2230.0,650.0,440.0,260.0,200.0,200.0,50.0,160.0,130.0,50.0,400.0,190.0,2470.0,1200.0,80.0,1680.0,150.0,310.0,540.0,60.0,190.0,90.0,380.0,2140.0,260.0,40.0,4850.0,740.0,190.0,210.0,40.0
